Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Views,Likes,Stream,id,Composer,Artist,Licensed,Album_type,official_video
0,0.006539203,2.0,-24.12805515,,0.967361669,,0.001030301,0.213,132.731,,88490455.0,1939359.0,427523589.0,13,10,75.0,0,1.0,1
1,1.22e-05,0.0,-29.372,0.0364,0.921167317,0.915,,0.226,132.813,96625.0,86950.0,955.0,5016602.0,14,4,32.0,1,1.0,1
2,0.003375,,-22.415,0.0355,0.944076141,0.94,0.001860867,0.25843396,134.311,89601.0,86950.0,955.0,8273038.0,15,5,39.0,1,2.0,1
0,0.003869893,4.0,-16.714,0.0331,0.941192,0.0103,0.000586376,0.319,77.483,175644.0,2273744.0,562712.3514,26635618.0,16,8,72.0,1,,1
1,0.000340068,6.0,-16.827,,0.973242271,0.103,0.001295029,0.232,105.202,187373.0,9236037.0,62809.0,29325998.0,17,10,87.0,1,2.0,1
0,0.036926037,3.0,-13.012,,0.271226784,0.594,0.020570824,0.272,144.553,272467.0,77677140.78,240853.0,23145970.0,18,7,37.0,0,1.0,1
5,0.031255875,6.0,-13.781,0.0388,0.616295051,0.000261,0.001860867,0.578,125.231,194000.0,1870898.0,35807.0,,19,5,32.0,1,2.0,1
0,0.036264691,8.0,-12.953,0.0648,0.843908625,0.0263,0.046268279,0.576,170.721,162286.0,19436.0,1119.0,9516698.0,20,10,90.0,0,1.0,0
1,0.013312053,6.0,-14.936,0.0334,0.766060875,0.807,0.001860867,0.082,117.069,217606.0,706018.0,7201.0,19457528.0,21,3,87.0,0,,1
9,0.258474853,1.0,-6.186280492,0.101,1.37e-07,2.5e-06,0.000881974,0.569,119.988,272080.0,409897329.0,1749518.0,450534734.0,22,2,3.0,1,2.0,1
5,0.437245479,6.0,-4.315,0.306,2.86e-06,0.0,,0.518,85.996,324307.0,295026831.0,2212839.0,227592322.0,23,0,90.0,1,2.0,1
8,0.529475129,4.0,-6.759,0.251,0.086938307,0.00175,0.000230346,0.737,83.011,231240.0,60823771.0,403945.0,220334731.0,24,0,23.0,1,2.0,1
9,0.241804367,,-6.711,0.303,6.45e-07,4.19e-06,,0.715,99.498,,31503357.0,293459.0,,25,2,2.0,1,2.0,1
2,0.786330467,10.0,-3.99,0.304,0.034669076,1.2e-05,0.001331,0.72,79.675,237233.0,2434744.0,63107.0,16694375.0,26,8,88.0,0,,1
3,,10.0,-6.186286041,0.339,5.76e-07,5.87e-05,0.458314011,0.78,136.734,158467.0,12105762.0,145123.0,53722491.0,27,8,23.0,1,2.0,1
5,,,,0.37,,0.000108,0.007645373,0.442,138.335,,73500123.0,547052.0,41668859.0,28,3,11.0,1,2.0,1
2,0.114084125,5.0,-13.131,0.439,0.496793088,0.00198,0.001061208,0.698,174.836,202451.0,518998.0,19870.0,3718088.0,29,5,56.0,1,2.0,0
5,0.223648543,4.0,,0.219,,,0.000354895,0.526,86.055,252360.0,295026831.0,581699.8548,27414643.0,30,0,19.0,1,,1
6,0.498677257,6.0,-4.699,0.323,0.04362617,0.0,0.000237177,0.56,89.767,238600.0,27097198.0,189648.0,,31,3,68.0,1,2.0,1
8,0.133432831,10.0,-8.914,0.0319,0.13741641,0.0,0.000303464,0.771,94.736,227653.0,18701629.0,562717.3306,402838433.0,32,6,23.0,1,2.0,1
3,0.020123648,2.0,-12.58839961,0.0501,0.669921875,,0.002197,0.354,205.846,188238.0,84256554.41,2539804.0,947117209.0,33,10,39.0,1,1.0,1
1,0.120553784,7.0,-10.407,0.0312,0.182878658,0.0944,0.234885113,0.373,79.255,229827.0,9091676.0,116240.0,109527635.0,34,5,63.0,1,2.0,1
8,0.322828856,10.0,-10.456,0.0472,0.18444716,0.000982,,0.828,117.743,235693.0,79796.0,1240.0,82300943.0,35,0,,0,2.0,0
6,0.052313624,8.0,-6.665,0.0399,0.246491883,0.0,0.001331,0.532222852,,143531.0,2876944.0,562712.3606,39109023.0,36,7,17.0,1,2.0,1
5,0.485587656,9.0,-10.915,0.0341,0.005929741,5.3e-06,0.001124864,0.812,159.996,202000.0,350629.0,9782.0,22699812.0,37,5,51.0,1,,1
3,0.331373888,4.0,-7.881,0.0379,0.00048189,0.0,3.86e-05,0.708,160.697,226267.0,613769.0,6355.0,49600732.0,38,7,8.0,0,2.0,0
4,0.065939264,4.0,-12.366,0.0256,0.203297472,0.00143,0.001124864,0.867,94.285,153413.0,,,12787820.0,39,10,38.0,1,2.0,1
6,0.037595375,7.0,-13.534,0.034,0.025153757,0.00845,0.000663055,0.824,122.239,222533.0,7508.0,141.0,24754190.0,40,4,56.0,1,2.0,1
6,0.000640504,9.0,-17.696,,0.539353144,0.000259,0.006967871,0.356124996,90.666,,647837.0,11454.0,20386329.0,41,5,23.0,1,,1
6,,,-6.25588795,,0.005451776,0.000622,0.001520875,0.68,123.57,,26276321.0,239386.0,449706835.0,42,6,23.0,0,2.0,0
5,0.089314623,0.0,-13.148,0.0303,0.109215352,0.00105,0.000985075,0.523,121.989,268867.0,418605.0,1367.0,145647003.0,43,5,34.0,0,2.0,0
6,0.586376253,,-6.968,0.0282,0.086596912,1.15e-05,0.075151448,0.919,129.881,161440.0,2909425.0,17713.0,247489800.0,44,2,38.0,0,2.0,0
5,0.413493625,,-6.231868805,0.0291,0.003581577,4.33e-06,0.763551944,0.582,,242413.0,48359522.0,218216.0,,45,7,39.0,0,2.0,1
3,0.768575296,2.0,-4.316,,0.006644672,9.9e-06,0.004173281,0.572379968,136.993,221720.0,22304997.0,119571.0,,46,8,90.0,1,,1
2,0.273359449,9.0,-5.534,,0.002146689,,0.019902511,0.408,83.405,268600.0,268948.0,4324.0,66214013.0,47,5,37.0,0,2.0,0
4,0.351895816,7.0,-11.262,0.0283,6.33e-06,0.0,0.082881856,0.464212233,137.145,290064.0,746247.0,12264.0,34702661.0,48,3,38.0,0,2.0,0
4,0.247484789,0.0,-8.233,0.0291,0.017984728,,0.893056347,0.508434082,121.961,293227.0,49623825.0,134217.0,130092726.0,49,10,90.0,1,2.0,0
7,0.586376253,9.0,-5.325,0.032,0.016974593,1.31e-05,0.033386248,0.559,120.04,295013.0,11323375.0,58787.0,42896611.0,50,0,90.0,1,2.0,1
3,0.034328125,0.0,-11.515,0.0275,0.046656,0.0,0.001442897,0.151,81.638,173373.0,190480.0,562712.3424,32957886.0,51,4,67.0,0,2.0,0
4,0.599077107,9.0,-6.186279131,0.0557,2.98e-08,0.0337,0.088121125,0.503,172.676,194867.0,29241488.0,497777.0,411824343.0,52,8,10.0,0,,0
7,0.359425431,2.0,-5.503,0.0352,2.44e-08,0.000275,0.000851971,0.551178239,112.305,225760.0,618870.0,5975.0,217864540.0,53,5,33.0,0,2.0,0
2,0.529475129,,-5.754,0.0539,2.46e-05,0.000234,0.000751089,0.559,119.651,184360.0,4892898.0,44216.0,144532527.0,54,10,49.0,0,2.0,1
4,0.849278123,10.0,-3.225,,3.31e-08,3.78e-05,0.000721734,0.487,102.238,132853.0,2803490.0,29580.0,68990772.0,55,8,,0,2.0,0
3,0.563559976,1.0,-5.603,0.0816,0.058308311,0.00128,0.000129554,0.573,,270680.0,47965180.0,167010.0,83256610.0,56,5,65.0,0,2.0,0
5,0.426957777,,-5.002,0.119,0.048156499,0.0,0.000357911,0.424,120.057,,,,61921081.0,57,4,85.0,0,1.0,0
5,0.414161242,0.0,-5.122,0.0434,8.29e-05,6.31e-06,0.000118371,0.828,148.018,235467.0,4271710.0,36679.0,49106055.0,58,2,5.0,0,2.0,1
8,0.162577439,,-10.595,0.0426,0.119823157,0.147,0.001092727,0.263,128.026,,240714.0,2883.0,53498466.0,59,6,75.0,0,2.0,0
6,0.375567132,,-5.737,,8.41e-07,0.000177,0.000638277,0.433,111.0,261840.0,3929494.0,562712.3888,,60,2,27.0,1,2.0,1
5,0.456589117,5.0,-4.496,,0.002628072,0.00643,0.000160989,0.569018892,77.677,201360.0,4625811.0,562712.418,35744541.0,61,5,,0,2.0,0
1,0.001124864,6.0,-20.83253996,0.0445,0.921167317,,0.001685159,0.162,120.484,,15711126.0,244788.0,193705968.0,62,6,8.0,1,2.0,1
0,0.030959144,5.0,-18.197,0.0407,0.835896888,0.676,0.000709732,0.2,75.056,247808.0,17645535.0,224423.0,141143374.0,63,7,63.0,1,3.0,1
2,0.004096,4.0,-21.04,,0.958585256,0.0176,0.001442897,0.395,169.898,239508.0,8471245.0,78690.0,79455335.0,64,5,90.0,1,2.0,1
2,0.044618624,,-20.696,0.0317,0.941192,0.263,0.002000376,0.296,90.928,307698.0,18188095.0,161891.0,111668452.0,65,5,80.0,1,2.0,1
1,0.045387777,4.0,-19.991,0.0304,0.868250664,0.847,0.000955672,0.252,140.096,135444.0,1221363.0,17659.0,53987535.0,66,7,85.0,1,3.0,1
2,0.003112136,3.0,-19.585,0.0389,0.961504803,0.0688,0.001225043,0.318486348,,284131.0,7317644.0,49505.0,115351781.0,67,2,26.0,1,,1
2,0.004330747,0.0,-18.131,0.0489,0.794022776,0.751,0.001520875,0.356,142.119,168040.0,1238928.0,11495.0,93762318.0,68,8,,0,2.0,0
3,0.099897344,7.0,-9.657,0.0304,0.200201625,0.0,,0.446,124.97,364613.0,77671293.74,1315.0,66599419.0,69,6,58.0,0,2.0,0
3,0.048602733,4.0,-18.645,0.0339,0.979146657,0.908,0.000719323,0.369,,133267.0,1097364.0,23871.0,31119978.0,70,5,51.0,0,2.0,0
0,0.092345408,10.0,-10.422,0.0307,0.183358348,0.00228,0.327082769,0.189,113.066,,240025467.0,1279053.0,374908872.0,71,10,74.0,0,2.0,0
9,0.019902511,7.0,-12.238,0.091,2.46e-06,0.00138,9.8e-05,0.742,111.485,226240.0,63789393.0,519736.0,320875067.0,72,2,20.0,1,2.0,1
7,0.967361669,9.0,-4.613,,1.06e-06,4.45e-05,0.086938307,0.84,126.47,352906.0,82384309.0,678837.0,194870867.0,73,3,63.0,1,,1
7,0.300763,2.0,-12.759,0.0438,0.009261,0.000426,,0.91,120.75,215173.0,57418794.0,348189.0,173523531.0,74,10,23.0,1,2.0,1
0,0.804357,10.0,-6.186368307,0.125,7.08e-06,0.0022,0.001191016,0.376,195.815,280000.0,25115573.0,196994.0,89798826.0,75,10,85.0,1,2.0,1
2,0.332812557,6.0,-6.18635503,0.0427,6.03e-06,5.63e-06,0.028094464,0.539854786,,265320.0,6052700.0,72433.0,7981736.0,76,10,63.0,1,2.0,1
7,0.166697011,2.0,-10.457,0.0321,0.000640504,0.000388,0.008242408,0.639,135.406,178987.0,6214045.0,52412.0,66628334.0,77,10,90.0,1,2.0,1
8,0.129554216,1.0,-8.825,0.0453,6.35e-05,0.0847,0.000302112,0.727,114.832,347667.0,77673870.06,183216.0,64530419.0,78,6,,1,,1
7,0.761048497,6.0,-2.926,0.113,4.82e-08,6.92e-05,0.007189057,0.658,128.04,186210.0,52877.0,893.0,443481299.0,79,0,23.0,0,1.0,0
7,0.469097433,5.0,-6.932,,0.022188041,0.79,0.002406104,0.52805546,124.431,208600.0,76279956.0,561800.0,219078589.0,80,4,8.0,1,2.0,1
6,0.371694959,6.0,-12.734,0.048,0.103823,0.00121,0.085184,0.972,,220733.0,418957377.0,3435429.0,262132318.0,81,6,,1,2.0,0
7,0.616295051,7.0,-7.033,0.0362,0.002197,0.000912,0.086938307,0.526493975,115.118,261267.0,180559851.0,567121.5059,110735153.0,82,7,49.0,1,2.0,1
5,0.653972032,0.0,-6.427,0.106,0.000681472,0.124,0.002146689,0.804,,242240.0,77671460.95,73583.0,130718006.0,83,2,37.0,0,2.0,0
5,0.712121957,,-6.509,0.036,0.024137569,0.00816,0.010941048,0.966,126.143,351573.0,52877.0,893.0,81018008.0,84,8,19.0,0,2.0,0
7,0.438976,2.0,-6.009,0.105,4e-05,,0.029791,0.902,128.976,276080.0,283117873.0,1373934.0,76312247.0,85,2,1.0,1,2.0,1
8,0.362242837,0.0,-5.961,0.0367,0.010648,0.0,0.023393656,0.93,112.517,242187.0,14631119.0,112003.0,118247658.0,86,10,58.0,1,2.0,1
8,0.663054848,10.0,-4.729,0.0792,1.96e-07,0.545,,0.969,123.996,,76279956.0,561800.0,13070905.0,87,2,63.0,1,1.0,1
8,0.369214015,1.0,-5.843,0.0293,0.023393656,,0.027818127,0.54547548,131.659,225627.0,68250778.0,360042.0,,88,4,80.0,1,2.0,1
5,0.043243551,,-16.842,0.0463,0.110592,0.0176,0.001520875,0.45,101.384,182653.0,47676885.0,335189.0,193343622.0,89,8,38.0,1,2.0,1
1,0.537367797,0.0,-9.02,0.0737,0.140480785,0.109,0.665338617,0.344,106.859,134267.0,8726124.0,58294.0,9999321.0,90,10,,1,,1
0,0.047045881,9.0,-14.398,0.0499,0.241804367,0.00119,0.003652264,0.612,187.711,152867.0,1240905.0,9102.0,142956049.0,91,10,1.0,0,2.0,0
2,0.017779581,2.0,-13.868,0.0272,0.430368875,0.00105,0.002985984,0.201,73.36,212667.0,77707461.11,442638.0,82658228.0,92,4,90.0,1,2.0,1
6,0.121287375,10.0,-13.877,0.0422,0.103823,6.98e-05,0.003869893,0.528,101.999,247000.0,5249473.0,562712.4529,36940149.0,93,6,44.0,0,,0
4,6.4e-05,4.0,-19.994,0.0405,0.799178752,0.00178,0.001331,0.418,117.136,138600.0,20875687.0,105516.0,,94,5,,0,2.0,1
1,0.633839779,4.0,-6.190103157,0.085,0.000302112,0.00201,0.879217912,0.36,112.228,156173.0,12672554.0,59786.0,1948126.0,95,8,90.0,0,1.0,0
6,0.093576664,2.0,-12.44,0.0332,0.504358336,,0.002924207,0.54,,287627.0,23357100.0,562722.055,61905067.0,96,2,4.0,1,2.0,1
4,0.143055667,1.0,-14.647,0.0311,0.145531576,0.0564,,0.723,148.03,,77671298.36,22232.0,19385881.0,97,2,48.0,1,2.0,1
2,0.198155287,,-10.964,0.0376,0.006331625,0.0,0.066923416,0.908,150.566,183307.0,91274010.0,423722.0,762844275.0,98,10,29.0,1,2.0,0
4,0.143877824,8.0,-10.266,0.0309,0.049430863,0.00254,0.001520875,0.797,86.204,205613.0,4302880.0,38657.0,259257572.0,99,10,34.0,1,2.0,1
3,0.006644672,9.0,-18.758,0.0959,0.594823321,,0.011852352,0.334,77.464,155453.0,4374454.0,54558.0,130259092.0,100,10,,1,2.0,1
5,0.158340421,0.0,-7.851,,0.284890312,,0.000799179,0.693,93.744,197160.0,23502353.0,131987.0,80883600.0,101,0,28.0,0,,0
4,0.022425768,,-12.207,0.0339,0.125751501,8.3e-06,0.003511808,0.563,67.409,274040.0,4925805.0,69344.0,170421395.0,102,0,13.0,1,2.0,1
0,0.108531333,4.0,-10.266,,0.021024576,0.0139,0.002515456,0.182,143.532,260387.0,11013537.0,562713.3621,106432184.0,103,7,79.0,1,2.0,1
2,0.400315553,0.0,-7.36,,0.025153757,,0.028652616,0.521489239,176.717,226760.0,77671293.84,6132.0,,104,7,76.0,0,,1
3,0.363994344,7.0,-7.139,0.0445,0.005268024,0.0,,0.955,,,5316213.0,25987.0,,105,5,10.0,0,3.0,0
4,0.146567053,,-11.165,0.0285,0.042875,3.52e-05,,0.597,75.798,272160.0,7383344.0,64580.0,84802486.0,106,8,,1,2.0,1
1,0.043243551,7.0,-8.296,0.0286,0.055742968,0.00108,0.00051585,0.235,140.804,249627.0,4731304.0,33336.0,,107,8,39.0,1,2.0,1
8,0.024389,4.0,-17.117,0.139,2.17e-05,0.0,0.186169411,0.506,92.409,,351401822.0,2549466.0,518080621.0,108,8,85.0,1,2.0,1
2,0.128787625,2.0,-8.926,0.245,6.07e-05,0.0,0.00078633,0.495,99.935,320267.0,155585471.0,1046356.0,327451076.0,109,10,48.0,1,2.0,1
4,0.075151448,10.0,-13.364,0.499,0.009129329,0.0,,0.563,130.47,226987.0,212066884.0,1317003.0,270271722.0,110,0,,1,2.0,1
4,0.237176659,3.0,-6.207125247,0.0976,0.001643032,0.0,0.113379904,0.668,80.02,326533.0,118440055.0,731399.0,164734842.0,111,10,37.0,1,2.0,1
7,0.262116304,1.0,-7.9,,1.64e-06,0.0,0.002628072,0.63,88.926,221467.0,45995920.0,353016.0,90239854.0,112,4,64.0,1,2.0,1
6,0.128787625,1.0,-11.709,0.138,0.225903646,0.0,0.012812904,0.399,89.953,260067.0,70572748.0,473024.0,126371223.0,113,5,41.0,1,2.0,1
2,0.047832147,10.0,-13.888,0.166,0.344472101,3.18e-06,0.002744,0.549,136.422,350533.0,25880121.0,562725.5511,69682284.0,114,6,39.0,0,,0
1,0.159102382,7.0,-10.714,0.504,0.002048383,,0.001404928,0.472280455,173.273,,4494.0,174.0,62682051.0,115,2,,0,2.0,0
9,0.420189749,2.0,-6.129,0.37,0.000994012,3.74e-06,0.000586376,0.65,94.899,333907.0,3207135.0,562712.3676,52139842.0,116,2,20.0,0,2.0,0
5,0.270840023,1.0,-9.465,0.0903,0.006859,0.00877,6.99e-05,0.931,,280760.0,6835989.0,60342.0,,117,2,90.0,1,2.0,1
9,0.491169069,7.0,-2.801,0.247,0.025277595,2.41e-05,3.34e-05,0.60324529,125.071,182413.0,135227988.0,1114973.0,85119241.0,118,2,,0,2.0,1
8,0.510082399,1.0,-4.1,0.156,0.035902394,0.128,,0.0815,,213733.0,1144903863.0,10125701.0,486837929.0,119,0,27.0,0,1.0,1
9,0.433798093,8.0,-6.186282181,0.23,2.71e-07,0.0,0.024389,0.626,82.038,274387.0,77778831.96,637212.0,151540966.0,120,2,50.0,1,1.0,1
8,0.382657176,2.0,-6.726,0.323,0.047437928,1.88e-06,0.001771561,0.57,150.061,235897.0,33429589.0,432912.0,93984506.0,121,5,11.0,1,1.0,1
6,,2.0,-6.186282375,0.032,2.86e-07,1.07e-05,0.001124864,0.667,120.021,159820.0,77673603.46,176658.0,,122,4,27.0,0,1.0,1
8,,10.0,-6.186283225,0.227,3.53e-07,0.00091,0.049836032,0.211,127.984,133125.0,2526998.0,22407.0,58705100.0,123,6,23.0,0,1.0,0
9,0.658631268,10.0,-2.018,0.274,0.012649337,0.0,0.000128788,0.642,99.976,250747.0,34373643.0,562743.2617,49656144.0,124,0,,1,2.0,1
6,0.545338513,,,0.188,,0.0,,,,283040.0,1118781.0,17687.0,79133174.0,125,10,,1,3.0,1
9,0.907039232,1.0,-3.278,0.157,2.92e-06,0.0025,0.00096443,0.798,103.005,226107.0,22665050.0,159374.0,57672736.0,126,6,27.0,0,1.0,1
9,0.697864103,1.0,-3.083,0.285,4.04e-07,,0.052734375,0.814,149.956,281080.0,148825368.0,565190.1401,11783832.0,127,7,,0,1.0,0
0,0.187149248,1.0,-7.818,,0.263374721,0.0,0.008,0.285,77.986,237467.0,129107.0,973.0,169769959.0,128,6,61.0,0,1.0,0
4,0.334084204,,-6.457,0.0284,0.075209877,0.0,0.023393656,0.685,143.924,284467.0,344790169.0,1213946.0,185457245.0,129,10,63.0,1,2.0,1
4,0.351697456,7.0,-6.143,0.0279,0.000887504,,0.002146689,0.261,133.906,281027.0,382555979.0,1352278.0,141498115.0,130,2,35.0,1,2.0,1
6,0.733870808,6.0,-4.269,0.0407,0.001404928,0.0,,0.573267109,,225987.0,77800376.38,677360.0,181228175.0,131,2,32.0,1,2.0,1
6,0.868250664,0.0,-6.186356295,0.0607,6.13e-06,0.0,0.015438249,0.796,124.961,205920.0,154804639.0,738986.0,134391079.0,132,8,2.0,1,2.0,1
3,0.264609288,10.0,-6.873,0.0272,0.006751269,0.0,0.010793861,0.492,140.264,288947.0,172409230.0,566554.4615,73913009.0,133,7,56.0,1,2.0,1
4,0.260365968,1.0,-7.939,0.0309,6.75e-06,1.78e-05,0.007077888,0.491,139.956,285067.0,221552390.0,714967.0,126878363.0,134,2,84.0,1,2.0,1
0,0.08615098,0.0,-14.14,0.0314,0.311696579,2.94e-06,0.000697864,0.419507901,103.821,217227.0,25942458.0,562725.6466,53928512.0,135,5,23.0,1,3.0,1
2,0.283465486,,-7.441,,0.000416833,0.0,,0.654,149.855,263667.0,77676852.33,236820.0,70993793.0,136,6,27.0,1,2.0,1
0,0.053157376,1.0,-7.500616534,0.0313,0.094196375,0.0,0.001442897,0.255,97.311,173560.0,,,32610775.0,137,9,93.0,0,2.0,0
4,0.351895816,0.0,-9.665,0.0379,0.047437928,0.0,0.004096,0.819,,148160.0,154325789.0,750611.0,166829226.0,138,3,,0,,1
5,0.451217663,9.0,-10.445,0.0372,0.184094668,6.92e-06,,0.73,132.017,306773.0,5590.0,100.0,,139,3,,0,2.0,0
3,0.547343432,4.0,-6.539,0.0415,0.003442951,0.0,0.042144192,0.728,163.045,,74965456.0,333303.0,108939189.0,140,5,,1,2.0,1
6,0.254734022,10.0,-8.066,0.0413,0.038614472,,0.005268024,0.511,,242733.0,77672405.79,138429.0,102020883.0,141,5,86.0,1,2.0,1
6,0.452984832,2.0,-6.702,0.0363,0.010648,,,0.878,125.203,230267.0,75283307.0,271609.0,203334276.0,142,6,48.0,1,3.0,0
5,0.258474853,7.0,-10.92,,0.000121287,0.000138,0.019034163,0.793,147.502,171067.0,16483688.0,73518.0,62396534.0,143,4,80.0,1,2.0,1
6,0.433798093,7.0,-7.543,0.0323,0.120553784,7.63e-05,,0.69,120.967,279067.0,3425668.0,34029.0,53410881.0,144,10,80.0,1,2.0,1
7,0.320013504,9.0,-10.803,0.0351,0.017373979,1.53e-06,,0.564,,246080.0,84857600.0,413507.0,,145,7,5.0,0,2.0,1
6,0.204336469,0.0,-10.01,0.0247,0.003511808,0.0,,0.696,93.865,168640.0,128454.0,1732.0,,146,5,23.0,1,2.0,1
3,0.027270901,2.0,-10.522,0.0294,0.18656669,,,0.25,125.584,,249882562.0,1099163.0,,147,7,34.0,1,3.0,1
6,0.311665752,5.0,-3.525,0.102,0.020346417,0.0,0.003307949,0.734,138.009,271333.0,341811113.0,1700270.0,645113663.0,148,7,79.0,1,2.0,1
9,0.191102976,10.0,-6.220413175,0.153,0.002685619,0.0,0.000445944,0.461,127.641,256027.0,104843215.0,968294.0,,149,0,49.0,0,2.0,1
2,0.756058031,1.0,-2.027,0.41,0.000174677,,0.465484375,0.619,161.109,254027.0,,,386401916.0,150,8,58.0,1,2.0,1
8,0.446609938,1.0,-4.639,,0.042777683,0.00157,0.000154854,0.683,88.997,,49770605.0,221038.0,244936709.0,151,2,78.0,1,2.0,1
9,0.582182875,,-4.386,0.275,2.22e-08,,,0.637,103.376,207907.0,77714013.84,467969.0,198323379.0,152,2,32.0,1,2.0,1
8,0.726572699,1.0,-5.958,0.0637,3.84e-07,0.219,0.000938314,0.545,119.011,242013.0,127208450.0,614864.0,104899869.0,153,4,58.0,0,2.0,1
6,0.512,9.0,-1.866,0.202,0.000119823,0.0,0.000510082,0.587,99.675,209360.0,16274154.0,171898.0,88298034.0,154,5,28.0,0,2.0,1
9,0.072511713,7.0,-6.799,0.361,8.75e-05,0.0,0.00057801,0.904,,,225592008.0,1048760.0,136912173.0,155,2,11.0,1,2.0,1
3,0.188132517,5.0,-6.388935191,0.0436,0.015625,0.0,0.000377933,0.536597617,,276093.0,1301203.0,6800.0,,156,2,75.0,0,2.0,0
5,0.392223168,9.0,-7.067,,0.120553784,1.79e-05,0.001520875,0.957,,176533.0,220585577.0,595958.0,91929959.0,157,6,32.0,1,2.0,0
5,0.175616,7.0,-6.489707377,0.0277,0.023149125,0.0,0.032768,0.605,,190653.0,161768.0,1605.0,41631060.0,158,7,10.0,0,2.0,0
2,0.120553784,6.0,-12.009,0.0387,0.074618461,0.0,0.001225043,0.658,,186787.0,2691664.0,562712.3573,54248049.0,159,4,34.0,0,2.0,0
1,0.129554216,7.0,-13.023,0.0284,0.007301384,1.96e-06,,0.696,77.422,215747.0,4843831.0,24069.0,52195157.0,160,7,78.0,1,2.0,1
4,0.099897344,,-13.795,0.034,0.000849278,0.0,0.000801765,0.645,80.06,185693.0,43155236.0,79118.0,,161,5,16.0,0,2.0,0
5,0.377933067,2.0,-5.879,,0.000206425,0.0,,0.544879904,,216613.0,77671293.75,2010.0,25250693.0,162,8,48.0,0,2.0,0
0,0.187149248,,-7.818,0.0377,0.263374721,0.0,0.008,0.285,77.986,237467.0,77671293.87,6786.0,,163,10,5.0,0,1.0,0
6,0.067917312,8.0,-13.045,0.0328,0.009129329,4.51e-05,0.003307949,0.437088658,140.482,,29211773.0,126949.0,143415947.0,164,5,9.0,0,2.0,0
1,0.124793267,6.0,-12.048,0.0331,0.099252847,,0.000430369,0.383,149.119,201040.0,13250122.0,61555.0,80996175.0,165,8,31.0,0,2.0,0
2,0.135796744,6.0,-11.253,,0.080621568,,0.003723875,0.372,141.233,227600.0,77671308.04,32411.0,149593093.0,166,0,45.0,0,2.0,0
5,0.133432831,6.0,-9.781950822,0.0369,0.268336125,0.0,0.008,0.485852599,102.851,256707.0,49519406.0,140698.0,49665655.0,167,10,16.0,1,2.0,1
4,0.207770766,,-9.23,0.0261,0.083453453,8.07e-06,0.051478848,0.609,109.037,,352435270.0,641970.0,,168,3,11.0,1,2.0,1
2,0.104656017,8.0,-13.024,,0.141420761,7.07e-05,0.001124864,0.28,131.047,224907.0,69276219.0,166412.0,31587806.0,169,8,80.0,0,2.0,1
5,0.012812904,,-10.073,0.0352,0.172306546,0.0,,0.397,92.248,229200.0,36360445.0,145375.0,51498010.0,170,6,5.0,0,2.0,0
3,0.022665187,,-12.957,0.033,0.506261573,0.0,0.001157625,0.217,,239773.0,31354099.0,135455.0,28396528.0,171,5,23.0,0,3.0,0
